ZIP,% of County Population,Type,Primary City,Acceptable Cities,Unacceptable Cities,
11720,2%,Standard,Centereach,"S Setauket, South Setauket",,
11721,0.4%,Standard,Centerport,,Center Port,
11722,2%,Standard,Central Islip,,"S Hauppauge, South Hauppauge",
11724,0.2%,Standard,Cold Spring Harbor,Cold Spg Hbr,,
11725,2%,Standard,Commack,,,
11726,1%,Standard,Copiague,,Marconiville,
11727,2%,Standard,Coram,,,
11935,0.2%,Standard,Cutchogue,,Nassau Point,
11729,2%,Standard,Deer Park,,Deerpark,
11937,1.0%,Standard,East Hampton,,E Hampton,
11730,1.0%,Standard,East Islip,,E Islip,
11939,0.1%,Standard,East Marion,,E Marion,
11940,0.3%,Standard,East Moriches,,E Moriches,
11731,2%,Standard,East Northport,"E Northport, Elwood",,
11942,0.3%,Standard,East Quogue,,E Quogue,
11733,1%,Standard,East Setauket,Setauket,"E Setauket, Old Field, Poquott, Strongs Neck",
11941,0.1%,Standard,Eastport,,,
11735,0.4%,Standard,Farmingdale,"S Farmingdale, South Farmingdale","E Farmingdale, East Farmingdale",
11738,1%,Standard,Farmingville,,,
06390,0.0%,PO Box,Fishers Island,Fishers Isle,,
11739,0.1%,PO Box,Great River,,,
11740,0.6%,Standard,Greenlawn,,,
11944,0.3%,Standard,Greenport,,,
11946,0.9%,Standard,Hampton Bays,,,
11788,1%,Standard,Hauppauge,Smithtown,,
11741,2%,Standard,Holbrook,,,
11742,0.9%,Standard,Holtsville,,,
11743,3%,Standard,Huntington,"Halesite, Lloyd Harbor","Bay Hills, Baycrest, Beech Croft, Cold Spring Hills, Harbor Heights, Hunt, Huntington Bay, Knollwood Beach, Lloyd Neck, W Hills, West Hills, Wincoma",
11746,5%,Standard,Huntington Station,"Dix Hills, Huntingtn Sta","S Huntington, So Huntington, South Huntington",
11749,0.2%,Standard,Islandia,"Central Islip, Hauppauge, Ronkonkoma",,
11751,1.0%,Standard,Islip,,"Bayberry Point, Islip Manor",
11752,0.6%,Standard,Islip Terrace,,,
11947,0.0%,PO Box,Jamesport,,,
11754,1%,Standard,Kings Park,,San Remo,
11755,0.8%,Standard,Lake Grove,,Lk Grove,
11948,0.1%,Standard,Laurel,,,
11757,3%,Standard,Lindenhurst,,"Heer Park, N Lindenhurst, North Lindenhurst",
11949,1.0%,Standard,Manorville,,,
11950,1%,Standard,Mastic,,"Manor Park, Rivers Edge",
11951,0.9%,Standard,Mastic Beach,,"Old Mastic, Village Of Mastic Beach",
11952,0.3%,Standard,Mattituck,,,
11763,2%,Standard,Medford,,Gordon Heights,
11747,1%,Standard,Melville,"Huntingtn Sta, Huntington Station",Dix Hills,
11953,0.9%,Standard,Middle Island,,,
11764,0.9%,Standard,Miller Place,,,
11954,0.2%,Standard,Montauk,,Hither Plains,
11955,0.2%,Standard,Moriches,,,
11766,0.8%,Standard,Mount Sinai,,Mt Sinai,
11767,1.0%,Standard,Nesconset,,,
11956,0.0%,PO Box,New Suffolk,,,
11703,1%,Standard,North Babylon,Babylon,N Babylon,
11768,2%,Standard,Northport,Fort Salonga,"Asharoken, Crab Meadow, Eatons Neck, Sunken Meadow",
11769,0.6%,Standard,Oakdale,,,
11770,0.0%,PO Box,Ocean Beach,,"Corneil Estates, Fire Island, Ocean Bay Park, Seaview",
11957,0.0%,Standard,Orient,,Orient Point,
11772,3%,Standard,Patchogue,"Davis Park, E Patchogue, East Patchogue","Canaan Lake, N Patchogue, North Patchogue",
11958,0.0%,Standard,Peconic,,,
11777,0.6%,Standard,Port Jefferson,"Port Jeff Sta, Port Jefferson Station, Prt Jefferson","Belle Terre, P J S, Pjs, Pt Jefferson Station",
11776,2%,Standard,Port Jefferson Station,Port Jeff Sta,"P J S, Pjs, Prt Jeff Sta, Prt Jefferson Station, Terryville",
11959,0.1%,PO Box,Quogue,,,
11960,0.1%,PO Box,Remsenburg,,,
11961,0.9%,Standard,Ridge,,"Lake Panamoka, Panamoka",
11901,2%,Standard,Riverhead,Flanders,Northampton,
11778,0.9%,Standard,Rocky Point,,,
11779,3%,Standard,Ronkonkoma,"Lake Ronkonkoma, Lk Ronkonkoma",Lake Ronkonkoma Heights,
11963,0.4%,Standard,Sag Harbor,,"Bay Point, N Haven, North Haven, Pine Neck",
11962,0.0%,PO Box,Sagaponack,,,
11780,1.0%,Standard,Saint James,,"Box Hill, Deer Wells, Flowerfield, Head Of The Harbor, Nissequogue, St James",
11782,1%,Standard,Sayville,"Cherry Grove, Fire Is Pines, Fire Island Pines",,
11784,2%,Standard,Selden,,Old Westfield,
11964,0.1%,PO Box,Shelter Island,Shelter Is,,
11965,0.0%,PO Box,Shelter Island Heights,Shelter Is Ht,,
11967,2%,Standard,Shirley,"E Yaphank, East Yaphank, Smith Point",Smiths Point,
11786,0.4%,Standard,Shoreham,,,
11787,2%,Standard,Smithtown,,Village Of The Branch,
11789,0.5%,Standard,Sound Beach,,Scotts Beach,
11970,0.0%,PO Box,South Jamesport,S Jamesport,,
11968,0.8%,Standard,Southampton,,"S Hampton, South Hampton",
11971,0.4%,Standard,Southold,,,
11972,0.1%,PO Box,Speonk,,,
11790,1%,Standard,Stony Brook,,"Head Of The Harbor, Stonybrook",
11794,0.2%,Unique,Stony Brook,,"Stonybrook, Suny Stony Brook",
11973,0.0%,PO Box,Upton,,,
11792,0.6%,Standard,Wading River,,"Wildwood, Willwood",
11975,0.0%,PO Box,Wainscott,,,
11976,0.1%,Standard,Water Mill,,"Watermill, Wtr Mill",
11704,3%,Standard,West Babylon,Babylon,W Babylon,
11795,2%,Standard,West Islip,,W Islip,
11796,0.3%,Standard,West Sayville,,W Sayville,
11977,0.2%,Standard,Westhampton,,"W Hampton, West Hampton",
11978,0.2%,Standard,Westhampton Beach,W Hampton Bch,"Quioque, W Hampton Beach, West Hampton Beach, West Hampton Dunes, Westhampton Dunes",
11798,1.0%,Standard,Wyandanch,"Wheatley Heights, Wheatley Hts",,
11980,0.3%,Standard,Yaphank,,Carver Park,
10501,0.1%,Standard,Amawalk,,,
10502,0.6%,Standard,Ardsley,,Chauncey,
10503,0.0%,PO Box,Ardsley On Hudson,Ardsley Hdsn,,
10504,0.8%,Standard,Armonk,North Castle,,
10505,0.1%,Standard,Baldwin Place,,,
10506,0.6%,Standard,Bedford,,"Banksville, Bedford Village",
10507,0.7%,Standard,Bedford Hills,,,
10509,0.0%,Standard,Brewster,,"Sears Corners, Southeast",
10510,1%,Standard,Briarcliff Manor,"Briarcliff, Scarborough",Briarcliff Mnr,
10708,2%,Standard,Bronxville,Yonkers,,
10511,0.2%,Standard,Buchanan,,,
10514,1%,Standard,Chappaqua,,,
10567,2%,Standard,Cortlandt Manor,Cortlandt Mnr,,
10517,0.1%,PO Box,Crompond,,,
10518,0.1%,Standard,Cross River,,,
10519,0.0%,PO Box,Croton Falls,,,
10520,1%,Standard,Croton On Hudson,Croton Hdsn,"Croton, Croton Hudson",
10522,1%,Standard,Dobbs Ferry,,,
10709,1.0%,Standard,Eastchester,Yonkers,,
10523,0.8%,Standard,Elmsford,,,
10526,0.2%,Standard,Goldens Bridge,Goldens Brg,,
10527,0.1%,Standard,Granite Springs,Granite Spgs,,
10528,1%,Standard,Harrison,,,
10530,1%,Standard,Hartsdale,,,
10706,0.9%,Standard,Hastings On Hudson,"Hastings Hdsn, Yonkers",Hastings Hudson,
10532,0.5%,Standard,Hawthorne,,,
10533,0.8%,Standard,Irvington,,"East Irvington, Irvington On Hudson",
10535,0.1%,Standard,Jefferson Valley,Jefferson Vly,,
10536,1%,Standard,Katonah,,Lake Katonah,
10537,0.0%,Standard,Lake Peekskill,Lk Peekskill,,
10538,2%,Standard,Larchmont,,,
10541,0.1%,Standard,Mahopac,"Lake Lincolnd, Lake Lincolndale","Lake Mahopac, Lake Secor",
10543,2%,Standard,Mamaroneck,,,
10545,0.0%,PO Box,Maryknoll,,,
10546,0.1%,Standard,Millwood,,,
10547,0.8%,Standard,Mohegan Lake,,Lake Mohegan,
10548,0.4%,Standard,Montrose,,,
10549,2%,Standard,Mount Kisco,"Bedford Corners, Bedford Cors",,
10550,4%,Standard,Mount Vernon,,,
10552,2%,Standard,Mount Vernon,Fleetwood,Mt Vernon,
10553,1%,Standard,Mount Vernon,,Mt Vernon,
10801,4%,Standard,New Rochelle,,,
10804,2%,Standard,New Rochelle,Wykagyl,,
10805,2%,Standard,New Rochelle,,,
10560,0.5%,Standard,North Salem,,,
10562,3%,Standard,Ossining,,"Crotonville, Kitchawan",
10566,3%,Standard,Peekskill,,,
10803,1%,Standard,Pelham,,"New Rochelle, Pelham Manor",
10570,1%,Standard,Pleasantville,,,
10573,4%,Standard,Port Chester,Rye Brook,Portchester,
10576,0.5%,Standard,Pound Ridge,,Scotts Corners,
10577,0.7%,Standard,Purchase,,,
10578,0.1%,Standard,Purdys,,Purdy Station,
10580,2%,Standard,Rye,,,
10583,4%,Standard,Scarsdale,Heathcote,"Edgemont, Scarsdale Park",
10588,0.2%,Standard,Shrub Oak,,,
10589,0.9%,Standard,Somers,,Somers Town,
10590,0.7%,Standard,South Salem,,"Lake Kitchawan, Lewisboro",
10591,2%,Standard,Tarrytown,"N Tarrytown, North Tarrytown, Sleepy Hollow","Philipse Manor, Pocantico Hills, Sleepy Hollow Manor",
10594,0.5%,Standard,Thornwood,,,
10707,1%,Standard,Tuckahoe,"Eastchester, Yonkers",,
10595,0.9%,Standard,Valhalla,,East View,
10596,0.2%,PO Box,Verplanck,,,
10597,0.1%,Standard,Waccabuc,,,
10604,1%,Standard,West Harrison,"W Harrison, White Plains","East White Plains, Westchester County Airport",
10601,1%,Standard,White Plains,,,
10603,2%,Standard,White Plains,"N White Plains, N White Plns",North White Plains,
10605,2%,Standard,White Plains,,Gedney,
10606,2%,Standard,White Plains,,,
10607,0.7%,Standard,White Plains,,Greenburgh,
10701,7%,Standard,Yonkers,,,
10703,2%,Standard,Yonkers,,,
10704,3%,Standard,Yonkers,,,
10705,4%,Standard,Yonkers,,,
10710,3%,Standard,Yonkers,,Centuck,
10598,3%,Standard,Yorktown Heights,Yorktown Hts,"Yorktown, Yorktown Hgts",
10913,2%,Standard,Blauvelt,,,
10920,3%,Standard,Congers,,,
10923,3%,Standard,Garnerville,,,
10927,4%,Standard,Haverstraw,,,
10931,0.3%,Standard,Hillburn,,,
10952,13%,Standard,Monsey,"Airmont, Kaser","Chestnut Ridge, Suffern, Wesley Hills",
10954,7%,Standard,Nanuet,Bardonia,,
10956,10%,Standard,New City,,Clarkstown,
10960,5%,Standard,Nyack,"Grand View-on-hudson, Grnd Vw Hudsn","Central Nyack, Grandview, Grandview On Hudson, South Nyack, Upper Grandview, Upper Nyack",
10962,2%,Standard,Orangeburg,,,
10964,0.5%,Standard,Palisades,,,
10965,5%,Standard,Pearl River,,Chestnut Ridge,
10968,0.8%,Standard,Piermont,,Grand View-on-hudson,
10970,3%,Standard,Pomona,,Mount Ivy,
10974,1.0%,Standard,Sloatsburg,,,
10976,0.7%,Standard,Sparkill,,,
10977,19%,Standard,Spring Valley,"Chestnut Rdg, Chestnut Ridge, New Square","Kaser, New Hempstead, Wesley Hills",
10980,4%,Standard,Stony Point,,Grassy Point,
10901,8%,Standard,Suffern,"Airmont, Montebello",,
10983,2%,Standard,Tappan,,,
10984,0.9%,Standard,Thiells,,,
10986,0.6%,Standard,Tomkins Cove,,,
10989,3%,Standard,Valley Cottage,Vly Cottage,,
10993,2%,Standard,West Haverstraw,W Haverstraw,,
10994,2%,Standard,West Nyack,,,
10509,20%,Standard,Brewster,,"Sears Corners, Southeast",
10512,26%,Standard,Carmel,Kent Lakes,Lake Carmel,
10516,5%,Standard,Cold Spring,Nelsonville,"North Highland, Philipstown",
10524,4%,Standard,Garrison,,Manitou,
12531,0.7%,Standard,Holmes,,"Homes, Whaley Lake",
12533,0.1%,Standard,Hopewell Junction,"East Fishkill, Hopewell, Hopewell Jct, Wiccopee",,
10537,2%,Standard,Lake Peekskill,Lk Peekskill,,
10541,25%,Standard,Mahopac,"Lake Lincolnd, Lake Lincolndale","Lake Mahopac, Lake Secor",
12563,8%,Standard,Patterson,,,
10579,9%,Standard,Putnam Valley,,"Adams Corners, Crofts Corners, Oscawana Lake, Tompkins Corners",
10588,0.1%,Standard,Shrub Oak,,,
12582,0.0%,Standard,Stormville,,,
07002,10%,Standard,Bayonne,,"Bergen Point, Pamrapo",
07029,3%,Standard,Harrison,East Newark,,
07030,8%,Standard,Hoboken,,"Castle Point, Uptown, Washington Street",
07302,6%,Standard,Jersey City,,,
07304,7%,Standard,Jersey City,,,
07305,10%,Standard,Jersey City,,"Ellis Island, Greenville",
07306,8%,Standard,Jersey City,,,
07307,7%,Standard,Jersey City,,,
07310,2%,Standard,Jersey City,,,
07311,0.1%,Standard,Jersey City,,,
07032,6%,Standard,Kearny,,"Arlington, South Kearny, West Arlington",
07047,10%,Standard,North Bergen,,"Tyler Park, Woodcliff",
07094,3%,Standard,Secaucus,,,
07087,11%,Standard,Union City,,"Bergenline, Summit Avenue, Weehawken",
07086,2%,Standard,Weehawken,,Union City,
07093,10%,Standard,West New York,Guttenberg,"Monitor, Taurus",
07401,0.7%,Standard,Allendale,,,
07620,0.2%,PO Box,Alpine,,,
07621,3%,Standard,Bergenfield,,,
07603,0.9%,Standard,Bogota,,,
07072,0.7%,Standard,Carlstadt,,,
07010,3%,Standard,Cliffside Park,Cliffside Pk,Cliff Park,
07624,0.9%,Standard,Closter,,,
07626,0.9%,Standard,Cresskill,,,
07627,0.5%,Standard,Demarest,,,
07628,2%,Standard,Dumont,,,
07073,1.0%,Standard,East Rutherford,E Rutherford,,
07020,1%,Standard,Edgewater,,,
07407,2%,Standard,Elmwood Park,,,
07630,0.8%,Standard,Emerson,,,
07631,3%,Standard,Englewood,,,
07632,0.6%,Standard,Englewood Cliffs,"Englewd Clfs, Englewood",,
07410,4%,Standard,Fair Lawn,,"Fairlawn, Radburn",
07022,2%,Standard,Fairview,,,
07024,4%,Standard,Fort Lee,,"Palisade, West Fort Lee",
07417,1%,Standard,Franklin Lakes,Franklin Lks,,
07026,3%,Standard,Garfield,,"Outwater, Ritz",
07452,1%,Standard,Glen Rock,,Ridgewood,
07601,5%,Standard,Hackensack,,Hack,
07640,0.5%,Standard,Harrington Park,Harrington Pk,,
07604,1%,Standard,Hasbrouck Heights,Hasbrouck Hts,,
07641,0.4%,Standard,Haworth,,,
07642,1%,Standard,Hillsdale,,,
07423,0.5%,Standard,Ho Ho Kus,,,
07605,1.0%,Standard,Leonia,,,
07643,1%,Standard,Little Ferry,,,
07644,3%,Standard,Lodi,,,
07071,2%,Standard,Lyndhurst,,,
07430,3%,Standard,Mahwah,,,
07495,0.0%,Standard,Mahwah,,,
07607,1%,Standard,Maywood,,,
07432,0.8%,Standard,Midland Park,,Midland Pk,
07645,0.9%,Standard,Montvale,,,
07074,0.3%,Standard,Moonachie,,,
07646,2%,Standard,New Milford,,N Milford,
07031,2%,Standard,North Arlington,N Arlington,,
07647,0.6%,Standard,Northvale,Rockleigh,,
07648,0.6%,Standard,Norwood,,,
07436,1%,Standard,Oakland,,,
07649,0.9%,Standard,Oradell,,,
07650,2%,Standard,Palisades Park,Palisades Pk,,
07652,3%,Standard,Paramus,,,
07656,1.0%,Standard,Park Ridge,,,
07446,2%,Standard,Ramsey,,Darlington,
07657,1%,Standard,Ridgefield,,Morsemere,
07660,1%,Standard,Ridgefield Park,Ridgefield Pk,,
07450,3%,Standard,Ridgewood,,,
07661,1%,Standard,River Edge,,,
07662,0.6%,Standard,Rochelle Park,,,
07070,2%,Standard,Rutherford,,,
07663,2%,Standard,Saddle Brook,,,
07458,1%,Standard,Saddle River,"U Saddle Riv, Upper Saddle River",,
07606,0.3%,Standard,South Hackensack,S Hackensack,,
07666,4%,Standard,Teaneck,,West Englewood,
07670,2%,Standard,Tenafly,,,
07608,0.0%,Standard,Teterboro,,,
07676,1.0%,Standard,Township Of Washington,"Twp Washingtn, Twp Washinton, Washington Twps","Hillsdale, Washington Tnshp, Washington Township, Washington Twnshp, Washington Twp, Washington Twsp",
07463,1%,Standard,Waldwick,,,
07057,1%,Standard,Wallington,,,
07675,3%,Standard,Westwood,"Old Tappan, River Vale, Rivervale",,
07075,0.8%,Standard,Wood Ridge,,Wood-ridge,
07677,0.6%,Standard,Woodcliff Lake,"Westwood, Woodcliff Lk",,
07481,2%,Standard,Wyckoff,,,
07403,2%,Standard,Bloomingdale,,,
07011,8%,Standard,Clifton,,Main Avenue Station,
07012,2%,Standard,Clifton,,Allwood,
07013,5%,Standard,Clifton,,,
07014,1.0%,Standard,Clifton,,Delawanna,
07508,5%,Standard,Haledon,"North Haledon, Paterson, Prospect Park",Prospect Pk,
07420,1.0%,Standard,Haskell,,,
07506,4%,Standard,Hawthorne,,,
07421,1%,Standard,Hewitt,,"Awosting, Greenwood Lake, Upper Greenwood Lake",
07424,5%,Standard,Little Falls,"West Paterson, Woodland Park","Great Notch, Singac, W Paterson",
07043,0.1%,Standard,Montclair,"Upper Montclair, Upr Montclair",,
07435,0.3%,Standard,Newfoundland,,"Green Pond, Greenpond",
07110,0.0%,Standard,Nutley,,,
07438,0.3%,Standard,Oak Ridge,,"Cozy Lake, Jefferson Township, Jefferson Twp, Lake Swannanoa",
07055,14%,Standard,Passaic,,"Dundee, Passaic Park",
07501,7%,Standard,Paterson,,,
07502,3%,Standard,Paterson,Totowa,Hillcrest,
07503,4%,Standard,Paterson,,South Paterson,
07504,3%,Standard,Paterson,,,
07505,0.5%,Standard,Paterson,,,
07513,2%,Standard,Paterson,,Peoples Park,
07514,4%,Standard,Paterson,,,
07522,4%,Standard,Paterson,,,
07524,3%,Standard,Paterson,,,
07442,2%,Standard,Pompton Lakes,,Pompton Falls,
07456,2%,Standard,Ringwood,,"Cupsaw Lake, Erskine, Erskine Lakes, Skyline Lakes",
07460,0.0%,Standard,Stockholm,Hardyston,"Cliffwood Lake, Gerard, Lake Stockholm, Lake Tamarack, Silver Lake",
07512,2%,Standard,Totowa,Paterson,Totowa Boro,
07465,1%,Standard,Wanaque,,Midvale,
07470,11%,Standard,Wayne,,"Lionshead Lake, Mountain View, Packanack Lake, Packanack Lk, Pines Lake, Preakness",
07480,3%,Standard,West Milford,,"Gordon Lakes, Pine Cliff Lake, Shady Lake, West Milford Lakes",
07109,5%,Standard,Belleville,,,
07003,6%,Standard,Bloomfield,,"Brookdale, Grove, North Center",
07006,3%,Standard,Caldwell,"N Caldwell, North Caldwell, W Caldwell, West Caldwell",,
07009,2%,Standard,Cedar Grove,,Overbrook,
07017,5%,Standard,East Orange,,"Ampere, Doddtown",
07018,4%,Standard,East Orange,,V A Hospital,
07021,0.3%,Standard,Essex Fells,,,
07004,0.9%,Standard,Fairfield,,,
07028,1.0%,Standard,Glen Ridge,,,
07111,7%,Standard,Irvington,,Township Of Irvington,
07039,4%,Standard,Livingston,,,
07040,3%,Standard,Maplewood,,Maplecrest,
07041,0.9%,Standard,Millburn,,,
07042,3%,Standard,Montclair,,,
07043,2%,Standard,Montclair,"Upper Montclair, Upr Montclair",,
07102,2%,Standard,Newark,,"Academy, Midtown, Washington Park",
07103,4%,Standard,Newark,,,
07104,6%,Standard,Newark,,,
07105,6%,Standard,Newark,,Ironbound,
07106,4%,Standard,Newark,,Vailsburg,
07107,5%,Standard,Newark,,Roseville,
07108,3%,Standard,Newark,,,
07112,3%,Standard,Newark,,Weequahic,
07114,2%,Standard,Newark,,,
07110,4%,Standard,Nutley,,,
07050,4%,Standard,Orange,,,
07068,0.7%,Standard,Roseland,,,
07078,2%,Standard,Short Hills,,,
07079,2%,Standard,South Orange,,,
07083,0.0%,Standard,Union,,"Chestnut, Townley, Union Center",
07044,2%,Standard,Verona,,,
07052,6%,Standard,West Orange,,Town Center,
07922,2%,Standard,Berkeley Heights,Berkeley Hts,,
07066,3%,Standard,Clark,,,
07016,4%,Standard,Cranford,,,
08812,0.0%,Standard,Dunellen,Green Brook,,
07201,5%,Standard,Elizabeth,,"Betsytown, Peterstown, Union Square",
07202,8%,Standard,Elizabeth,,"Bayway, Elmora, Parkandbush",
07208,6%,Standard,Elizabeth,,North Elizabeth,
07206,5%,Standard,Elizabethport,Elizabeth,,
07023,1%,Standard,Fanwood,,,
07027,0.8%,Standard,Garwood,,,
07205,4%,Standard,Hillside,"Ind Hillside, Industrial Hillside",,
07033,2%,Standard,Kenilworth,,,
07036,8%,Standard,Linden,Winfield Park,"Tremley, Tremley Point",
07092,1%,Standard,Mountainside,,,
07974,2%,Standard,New Providence,New Providnce,Murray Hill,
07060,5%,Standard,Plainfield,"N Plainfield, North Plainfield",Muhlenberg,
07062,2%,Standard,Plainfield,"N Plainfield, North Plainfield",,
07063,2%,Standard,Plainfield,"N Plainfield, North Plainfield",,
07065,5%,Standard,Rahway,,,
07203,4%,Standard,Roselle,,,
07204,3%,Standard,Roselle Park,,,
07076,4%,Standard,Scotch Plains,,,
07081,3%,Standard,Springfield,,,
07901,4%,Standard,Summit,,,
07083,10%,Standard,Union,,"Chestnut, Townley, Union Center",
07088,0.7%,Standard,Vauxhall,,,
07090,6%,Standard,Westfield,,,
07920,0.0%,Standard,Basking Ridge,,,
07005,3%,Standard,Boonton,"Boonton Township, Boonton Twp","Lake Intervale, Lk Intervale, Lyonsville, Meriden, Powerville, Rockaway Valley, Taylortown",
07926,0.0%,PO Box,Brookside,,,
