YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,CONSUMPTION
2020,1,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2020,1,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),79011
2020,1,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1241554
2020,1,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2020,1,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),1147615
2020,1,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),9090421
2020,1,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),798
2020,7,WY,Total Electric Power Industry,Coal (Short Tons),2016276
2020,1,CT,Total Electric Power Industry,Natural Gas (Mcf),1.39E+07
2020,1,CT,Total Electric Power Industry,Petroleum (Barrels),5495
2020,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),349320
2020,1,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),206085
2020,1,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),22
2020,1,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),60225
2020,1,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2020,1,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1.32E+07
2020,1,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),4806
2020,1,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),23945
2020,1,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),667
2020,1,DC,Total Electric Power Industry,Natural Gas (Mcf),148250
2020,1,DC,Total Electric Power Industry,Petroleum (Barrels),0
2020,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),148250
2020,1,DC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2020,8,WY,Total Electric Power Industry,Coal (Short Tons),1905377
2020,1,DE,Total Electric Power Industry,Natural Gas (Mcf),2031967
2020,1,DE,Total Electric Power Industry,Other Gases (Billion Btu),73
2020,1,DE,Total Electric Power Industry,Petroleum (Barrels),1340
2020,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),522236
2020,1,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),73
2020,1,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2020,1,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2020,1,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),25637
2020,1,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2020,1,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2020,1,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),1482674
2020,1,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),1340
2020,1,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),1420
2020,1,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),0
2020,9,WY,Total Electric Power Industry,Coal (Short Tons),1632403
2020,1,FL,Total Electric Power Industry,Natural Gas (Mcf),9.71E+07
2020,1,FL,Total Electric Power Industry,Other Gases (Billion Btu),0
